Log : 13/05/2019 16:11:18,925 -  INFO [SwingWorker-pool-1-thread-3] (TesteCaseTSDAO.java:447) - Fim método - workbook.write(fileOut)
Log : 13/05/2019 16:11:18,925 -  INFO [SwingWorker-pool-1-thread-3] (TesteCaseTSDAO.java:451) - Planilha gerada.
Log : 13/05/2019 16:16:41,175 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:269) - Realizando cópia da planilha
Log : 13/05/2019 16:16:43,253 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:281) - Planilha copiada
Log : 13/05/2019 16:16:45,159 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:315) - Inserindo dados do plano
Log : 13/05/2019 16:16:45,190 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 16:16:45,362 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 16:16:45,362 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 16:16:45,378 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 16:16:45,378 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 16:16:45,393 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 16:16:45,393 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 16:16:45,409 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 16:16:45,409 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 16:16:45,425 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 16:16:45,425 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 16:16:45,440 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 16:16:45,440 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 16:16:45,440 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 16:16:45,456 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 16:16:45,456 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 16:16:45,456 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:441) - Preparando para salvar planilha
Log : 13/05/2019 16:16:45,472 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:444) - Fim método - new FileOutputStream(destinationSheet) 
Log : 13/05/2019 16:16:45,487 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:445) - Tentando gravar na planilha.
Log : 13/05/2019 16:16:46,253 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:447) - Fim método - workbook.write(fileOut)
Log : 13/05/2019 16:16:46,253 -  INFO [SwingWorker-pool-1-thread-4] (TesteCaseTSDAO.java:451) - Planilha gerada.
Log : 13/05/2019 17:08:41,584 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:269) - Realizando cópia da planilha
Log : 13/05/2019 17:08:43,662 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:281) - Planilha copiada
Log : 13/05/2019 17:08:47,006 -  INFO [SwingWorker-pool-2-thread-3] (TesteCaseTSDAO.java:315) - Inserindo dados do plano
